id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype
Q155-P2936-Q6380124-83f85856-0	Q155	'Brazil'@en	P2936	'language used'@en	Q6380124	'Kaxararí'@en	wikibase-item								
Q155-P2936-Q12953626-4a2942bf-0	Q155	'Brazil'@en	P2936	'language used'@en	Q12953626	'Kaxuiâna'@en	wikibase-item								
Q155-P2936-Q6380372-751c18ab-0	Q155	'Brazil'@en	P2936	'language used'@en	Q6380372	'Kayabi'@en	wikibase-item								
Q155-P2936-Q3195366-cc04842c-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3195366	'Kepkiriwát'@en	wikibase-item								
Q155-P2936-Q53386731-a9038ef2-0	Q155	'Brazil'@en	P2936	'language used'@en	Q53386731	'Kinikinao'@en	wikibase-item								
Q155-P2936-Q6432560-34e86ad9-0	Q155	'Brazil'@en	P2936	'language used'@en	Q6432560	'Koropó'@en	wikibase-item								
Q155-P2936-Q3199022-77845bbc-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3199022	'Korubo'@en	wikibase-item								
Q155-P2936-Q3199549-aeb41fd0-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3199549	'Krahô'@en	wikibase-item								
Q155-P2936-Q6436747-afcd5dd1-0	Q155	'Brazil'@en	P2936	'language used'@en	Q6436747	'Krenak'@en	wikibase-item								
Q155-P2936-Q3199686-16cf8d51-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3199686	'Kreye'@en	wikibase-item								
Q155-P2936-Q3199710-f7f05397-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3199710	'Krikati-Timbira'@en	wikibase-item								
Q155-P2936-Q6443027-5148397e-0	Q155	'Brazil'@en	P2936	'language used'@en	Q6443027	'Kulino'@en	wikibase-item								
Q155-P2936-Q3200633-0c58cd16-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3200633	'Kuruáya'@en	wikibase-item								
Q155-P2936-Q3200839-779cc6a3-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3200839	'Kwaza'@en	wikibase-item								
Q155-P2936-Q20527166-3d3ec576-0	Q155	'Brazil'@en	P2936	'language used'@en	Q20527166	'Lakondê'@en	wikibase-item								
Q155-P2936-Q63259736-739cc677-0	Q155	'Brazil'@en	P2936	'language used'@en	Q63259736	'Latundê'@en	wikibase-item								
Q155-P2936-Q25433-a5e90931-0	Q155	'Brazil'@en	P2936	'language used'@en	Q25433	'Low German'@en	wikibase-item								
