id	node1	node1;label	label	label;label	node2	node2;label	id	node1	node1;label	label	label;label	node2	node2;label
Q5947557-P1365-Q267484-fc20b913-0	Q5947557	'Taifa of Ceuta (1061-1084)'@en	P1365	'replaces'@en	Q267484	'Taifa of Málaga'@en	Q5947557-P1365-Q267484-fc20b913-0-P580	Q5947557-P1365-Q267484-fc20b913-0		P580	'start time'@en	unknown	
Q5947557-P1365-Q267484-fc20b913-0	Q5947557	'Taifa of Ceuta (1061-1084)'@en	P1365	'replaces'@en	Q267484	'Taifa of Málaga'@en	Q5947557-P1365-Q267484-fc20b913-0-P585	Q5947557-P1365-Q267484-fc20b913-0		P585	'point in time'@en	unknown	
Q5947557-P1365-Q267484-fc20b913-0	Q5947557	'Taifa of Ceuta (1061-1084)'@en	P1365	'replaces'@en	Q267484	'Taifa of Málaga'@en	Q5947557-P1365-Q267484-fc20b913-0-P828	Q5947557-P1365-Q267484-fc20b913-0		P828	'has cause'@en	unknown	
Q217230-P1365-Q3932042-f47ad438-0	Q217230	'Empire of Brazil'@en	P1365	'replaces'@en	Q3932042	'Kingdom of Brazil'@en	Q217230-P1365-Q3932042-f47ad438-0-P580	Q217230-P1365-Q3932042-f47ad438-0		P580	'start time'@en	unknown	
Q217230-P1365-Q3932042-f47ad438-0	Q217230	'Empire of Brazil'@en	P1365	'replaces'@en	Q3932042	'Kingdom of Brazil'@en	Q217230-P1365-Q3932042-f47ad438-0-P585	Q217230-P1365-Q3932042-f47ad438-0		P585	'point in time'@en	unknown	
Q217230-P1365-Q3932042-f47ad438-0	Q217230	'Empire of Brazil'@en	P1365	'replaces'@en	Q3932042	'Kingdom of Brazil'@en	Q217230-P1365-Q3932042-f47ad438-0-P828	Q217230-P1365-Q3932042-f47ad438-0		P828	'has cause'@en	unknown	
Q160307-P1365-Q431575-15dafac2-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q431575	'Idrisid dynasty'@en	Q160307-P1365-Q431575-15dafac2-0-P580	Q160307-P1365-Q431575-15dafac2-0		P580	'start time'@en	unknown	
Q160307-P1365-Q431575-15dafac2-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q431575	'Idrisid dynasty'@en	Q160307-P1365-Q431575-15dafac2-0-P585	Q160307-P1365-Q431575-15dafac2-0		P585	'point in time'@en	unknown	
Q160307-P1365-Q431575-15dafac2-0	Q160307	'Fatimid Caliphate'@en	P1365	'replaces'@en	Q431575	'Idrisid dynasty'@en	Q160307-P1365-Q431575-15dafac2-0-P828	Q160307-P1365-Q431575-15dafac2-0		P828	'has cause'@en	unknown	
Q45-P1365-Q45670-84f93933-0	Q45	'Portugal'@en	P1365	'replaces'@en	Q45670	'Kingdom of Portugal'@en	Q45-P1365-Q45670-84f93933-0-P580	Q45-P1365-Q45670-84f93933-0		P580	'start time'@en	unknown	
