node1	label	node2
Q2940142	reachable	Q740522
Q2940142	reachable	Q186513
Q2940142	reachable	Q369692
Q2940142	reachable	Q3307686
Q2940142	reachable	Q1203967
Q1048918	reachable	Q186513
Q1048918	reachable	Q369692
Q1048918	reachable	Q1203967
Q188586	reachable	Q1051600
Q179876	reachable	Q105313
Q179876	reachable	Q1153798
Q179876	reachable	Q1483510
Q179876	reachable	Q676184
Q105313	reachable	Q676184
Q846	reachable	Q105633777
Q1057542	reachable	Q156418
Q739	reachable	Q1061488
Q739	reachable	Q1141215
Q739	reachable	Q630882
Q739	reachable	Q199821
Q739	reachable	Q1759249
Q739	reachable	Q8965
Q739	reachable	Q1166080
Q739	reachable	Q2077264
Q1061488	reachable	Q1141215
Q1061488	reachable	Q630882
Q1061488	reachable	Q199821
Q1061488	reachable	Q1759249
Q1061488	reachable	Q8965
Q1061488	reachable	Q1166080
Q1061488	reachable	Q2077264
Q28573	reachable	Q1062232
Q28573	reachable	Q3502470
Q209065	reachable	Q1063498
Q209065	reachable	Q1131500
Q209065	reachable	Q1311980
Q209065	reachable	Q15133422
Q209065	reachable	Q2301221
Q209065	reachable	Q3558382
Q209065	reachable	Q463889
Q209065	reachable	Q528546
Q209065	reachable	Q730163
Q209065	reachable	Q7418371
Q209065	reachable	Q3853777
Q209065	reachable	Q3854042
Q209065	reachable	Q3033129
Q209065	reachable	Q16847481
Q209065	reachable	Q16933222
Q209065	reachable	Q3568317
Q209065	reachable	Q582781
Q209065	reachable	Q187684
Q209065	reachable	Q4811008
Q209065	reachable	Q3494043
Q209065	reachable	Q16958904
Q209065	reachable	Q2121602
Q209065	reachable	Q85757800
Q209065	reachable	Q18639863
Q209065	reachable	Q168641
Q209065	reachable	Q213638
Q4948	reachable	Q106394714
Q4948	reachable	Q106395492
Q4948	reachable	Q12634993
Q4948	reachable	Q3511771
Q4948	reachable	Q694740
Q4948	reachable	Q22936174
Q4948	reachable	Q1789596
Q170174	reachable	Q106396892
Q170174	reachable	Q1072140
Q170174	reachable	Q1558632
Q170174	reachable	Q1788988
Q170174	reachable	Q2393278
Q170174	reachable	Q2829270
Q170174	reachable	Q3968612
Q170174	reachable	Q848383
Q170174	reachable	Q583038
Q170174	reachable	Q3755547
Q170174	reachable	Q841916
Q15180	reachable	Q1067097
Q15180	reachable	Q1842362
Q15180	reachable	Q4186485
Q15180	reachable	Q1143949
Q15180	reachable	Q1378406
Q15180	reachable	Q385163
Q15180	reachable	Q2703679
Q15180	reachable	Q30888577
Q15180	reachable	Q391979
Q15180	reachable	Q2579852
Q15180	reachable	Q4459156
Q1760473	reachable	Q1069959
Q107258515	reachable	Q63158027
Q794	reachable	Q107258515
Q794	reachable	Q207991
Q794	reachable	Q83311
Q794	reachable	Q63158027
Q794	reachable	Q189326
Q1077630	reachable	Q970750
Q1077630	reachable	Q2484249
Q1077630	reachable	Q149846
Q1077630	reachable	Q6372508
Q837	reachable	Q1078602
Q837	reachable	Q2366229
Q1078602	reachable	Q2366229
Q146885	reachable	Q107996369
Q146885	reachable	Q108868572
Q146885	reachable	Q26234937
Q146885	reachable	Q108868568
Q146885	reachable	Q139708
Q146885	reachable	Q130802
Q146885	reachable	Q146740
Q146885	reachable	Q146880
Q146885	reachable	Q12183911
Q146885	reachable	Q25432445
Q146885	reachable	Q146562
Q146885	reachable	Q146872
Q146885	reachable	Q7075820
Q146885	reachable	Q1162983
Q146885	reachable	Q12216996
Q146885	reachable	Q12216998
Q146885	reachable	Q12216999
Q146885	reachable	Q12217001
Q146885	reachable	Q12217003
Q146885	reachable	Q12217004
Q146885	reachable	Q12217005
Q146885	reachable	Q1372503
Q146885	reachable	Q1493892
Q146885	reachable	Q15712629
Q146885	reachable	Q15715196
Q146885	reachable	Q16120426
Q146885	reachable	Q2014671
Q146885	reachable	Q3326429
Q146885	reachable	Q3948374
Q146885	reachable	Q4117775
Q146885	reachable	Q4145971
Q146885	reachable	Q6086288
Q146885	reachable	Q3934817
Q146885	reachable	Q3934837
Q146885	reachable	Q3934822
Q146885	reachable	Q3736239
Q146885	reachable	Q3808910
Q146885	reachable	Q3936690
Q146885	reachable	Q2261321
Q146885	reachable	Q3043596
Q146885	reachable	Q1264808
Q146885	reachable	Q975405
Q79	reachable	Q107996374
Q79	reachable	Q170468
Q79	reachable	Q2051582
Q79	reachable	Q100258739
Q79	reachable	Q146885
Q79	reachable	Q193714
Q79	reachable	Q100258738
Q79	reachable	Q107996369
Q79	reachable	Q108868572
Q79	reachable	Q26234937
Q79	reachable	Q7075820
Q79	reachable	Q3087763
Q79	reachable	Q108868568
Q79	reachable	Q139708
Q79	reachable	Q1162983
Q79	reachable	Q12216996
Q79	reachable	Q12216998
Q79	reachable	Q12216999
Q79	reachable	Q12217001
Q79	reachable	Q12217003
Q79	reachable	Q12217004
Q79	reachable	Q12217005
Q79	reachable	Q1372503
Q79	reachable	Q1493892
Q79	reachable	Q15712629
Q79	reachable	Q15715196
Q79	reachable	Q16120426
Q79	reachable	Q2014671
Q79	reachable	Q3326429
Q79	reachable	Q3948374
Q79	reachable	Q4117775
Q79	reachable	Q4145971
Q79	reachable	Q6086288
Q79	reachable	Q124943
Q79	reachable	Q130802
Q79	reachable	Q146740
Q79	reachable	Q146880
Q79	reachable	Q3934817
Q79	reachable	Q3934837
Q79	reachable	Q3934822
Q79	reachable	Q3736239
Q79	reachable	Q3808910
Q79	reachable	Q3936690
Q79	reachable	Q370173
Q79	reachable	Q12183911
Q79	reachable	Q25432445
Q79	reachable	Q146562
Q79	reachable	Q146872
Q79	reachable	Q2261321
Q79	reachable	Q3043596
Q79	reachable	Q1264808
Q79	reachable	Q975405
Q869	reachable	Q1081620
Q736839	reachable	Q10827839
Q736839	reachable	Q97383678
Q430309	reachable	Q10841085
Q13414776	reachable	Q10878917
Q13414776	reachable	Q7183
Q13414776	reachable	Q1147897
Q13414776	reachable	Q34756
Q13414776	reachable	Q35216
Q13414776	reachable	Q504759
Q13414776	reachable	Q1055713
Q13414776	reachable	Q1077538
Q13414776	reachable	Q1137403
Q13414776	reachable	Q1574130
Q13414776	reachable	Q197430
Q13414776	reachable	Q307066
Q13414776	reachable	Q912052
Q13414776	reachable	Q1025803
Q13414776	reachable	Q1056772
Q13414776	reachable	Q1069690
Q13414776	reachable	Q1207032
Q13414776	reachable	Q2208130
Q13414776	reachable	Q5364563
Q13414776	reachable	Q736936
Q13414776	reachable	Q8003894
Q13414776	reachable	Q1040193
Q13414776	reachable	Q1065073
Q13414776	reachable	Q11091481
Q13414776	reachable	Q1437302
Q13414776	reachable	Q912068
Q13414776	reachable	Q197598
Q13414776	reachable	Q912043
Q13414776	reachable	Q197913
Q13414776	reachable	Q1069609
Q13414776	reachable	Q15917061
Q13414776	reachable	Q11153551
Q13414776	reachable	Q11120039
Q13414776	reachable	Q17026804
Q13414776	reachable	Q284964
Q13414776	reachable	Q16510394
Q13414776	reachable	Q128938
Q13414776	reachable	Q169705
Q13414776	reachable	Q201727
Q10878917	reachable	Q7183
Q10878917	reachable	Q1147897
Q10878917	reachable	Q34756
Q10878917	reachable	Q35216
Q10878917	reachable	Q504759
Q10878917	reachable	Q1055713
Q10878917	reachable	Q1077538
Q10878917	reachable	Q1137403
Q10878917	reachable	Q1574130
Q10878917	reachable	Q197430
Q10878917	reachable	Q307066
Q10878917	reachable	Q912052
Q10878917	reachable	Q1025803
Q10878917	reachable	Q1056772
Q10878917	reachable	Q1069690
Q10878917	reachable	Q1207032
Q10878917	reachable	Q2208130
Q10878917	reachable	Q5364563
Q10878917	reachable	Q736936
Q10878917	reachable	Q8003894
Q10878917	reachable	Q1040193
Q10878917	reachable	Q1065073
Q10878917	reachable	Q11091481
Q10878917	reachable	Q1437302
Q10878917	reachable	Q912068
Q10878917	reachable	Q197598
Q10878917	reachable	Q912043
Q10878917	reachable	Q197913
Q10878917	reachable	Q1069609
Q10878917	reachable	Q15917061
Q10878917	reachable	Q11153551
Q10878917	reachable	Q11120039
Q10878917	reachable	Q17026804
Q10878917	reachable	Q284964
Q10878917	reachable	Q16510394
Q10878917	reachable	Q128938
Q10878917	reachable	Q169705
Q10878917	reachable	Q201727
Q822	reachable	Q108865218
Q822	reachable	Q139708
Q822	reachable	Q108865226
Q822	reachable	Q7075820
Q822	reachable	Q1162983
Q822	reachable	Q12216996
Q822	reachable	Q12216998
Q822	reachable	Q12216999
Q822	reachable	Q12217001
Q822	reachable	Q12217003
Q822	reachable	Q12217004
Q822	reachable	Q12217005
Q822	reachable	Q1372503
Q822	reachable	Q1493892
Q822	reachable	Q15712629
Q822	reachable	Q15715196
Q822	reachable	Q16120426
Q822	reachable	Q2014671
Q822	reachable	Q3326429
Q822	reachable	Q3948374
Q822	reachable	Q4117775
Q822	reachable	Q4145971
Q822	reachable	Q6086288
Q822	reachable	Q3934817
Q822	reachable	Q3934837
Q822	reachable	Q3934822
Q822	reachable	Q3736239
Q822	reachable	Q3808910
Q822	reachable	Q3936690
Q822	reachable	Q2261321
Q822	reachable	Q3043596
Q822	reachable	Q1264808
Q822	reachable	Q975405
Q108865218	reachable	Q108865226
Q108865218	reachable	Q7075820
Q108865218	reachable	Q1162983
Q108865218	reachable	Q12216996
Q108865218	reachable	Q12216998
Q108865218	reachable	Q12216999
Q108865218	reachable	Q12217001
Q108865218	reachable	Q12217003
Q108865218	reachable	Q12217004
Q108865218	reachable	Q12217005
Q108865218	reachable	Q1372503
Q108865218	reachable	Q1493892
Q108865218	reachable	Q15712629
Q108865218	reachable	Q15715196
Q108865218	reachable	Q16120426
Q108865218	reachable	Q2014671
Q108865218	reachable	Q3326429
Q108865218	reachable	Q3948374
