id	node1	node1;label	label	label;label	node2	node2;label
Q1796198-P1365-Q199688-42ec0cd3-0-P580	Q1796198-P1365-Q199688-42ec0cd3-0		P580	'start time'@en	unknown	
Q1796198-P1365-Q199688-42ec0cd3-0-P580-ckgT1	Q1796198-P1365-Q199688-42ec0cd3-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q1796198-P1365-Q199688-42ec0cd3-0	Q1796198	'Kingdom of Córdoba'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en
Q1796198-P1365-Q199688-42ec0cd3-0-P585	Q1796198-P1365-Q199688-42ec0cd3-0		P585	'point in time'@en	unknown	
Q1796198-P1365-Q199688-42ec0cd3-0-P585-ckgT1	Q1796198-P1365-Q199688-42ec0cd3-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q1796198-P1365-Q199688-42ec0cd3-0	Q1796198	'Kingdom of Córdoba'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en
Q1796198-P1365-Q199688-42ec0cd3-0-P828	Q1796198-P1365-Q199688-42ec0cd3-0		P828	'has cause'@en	unknown	
Q1796198-P1365-Q199688-42ec0cd3-0-P828-ckgP1	Q1796198-P1365-Q199688-42ec0cd3-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q1796239-P1365-Q199688-3390142b-0	Q1796239	'Kingdom of Seville'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en
Q1796239-P1365-Q199688-3390142b-0-P580	Q1796239-P1365-Q199688-3390142b-0		P580	'start time'@en	unknown	
Q1796239-P1365-Q199688-3390142b-0-P580-ckgT1	Q1796239-P1365-Q199688-3390142b-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q1796239-P1365-Q199688-3390142b-0	Q1796239	'Kingdom of Seville'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en
Q1796239-P1365-Q199688-3390142b-0-P585	Q1796239-P1365-Q199688-3390142b-0		P585	'point in time'@en	unknown	
Q1796239-P1365-Q199688-3390142b-0-P585-ckgT1	Q1796239-P1365-Q199688-3390142b-0-P585		ckgr9	ckg:Context Type	ckgT1	Temporal
Q1796239-P1365-Q199688-3390142b-0	Q1796239	'Kingdom of Seville'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en
Q1796239-P1365-Q199688-3390142b-0-P828	Q1796239-P1365-Q199688-3390142b-0		P828	'has cause'@en	unknown	
Q1796239-P1365-Q199688-3390142b-0-P828-ckgP1	Q1796239-P1365-Q199688-3390142b-0-P828		ckgr9	ckg:Context Type	ckgP1	Provenance
Q45670-P1365-Q199688-33fd9675-0	Q45670	'Kingdom of Portugal'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en
Q45670-P1365-Q199688-33fd9675-0-P580	Q45670-P1365-Q199688-33fd9675-0		P580	'start time'@en	unknown	
Q45670-P1365-Q199688-33fd9675-0-P580-ckgT1	Q45670-P1365-Q199688-33fd9675-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q45670-P1365-Q199688-33fd9675-0	Q45670	'Kingdom of Portugal'@en	P1365	'replaces'@en	Q199688	'Almohad Caliphate'@en
Q45670-P1365-Q199688-33fd9675-0-P585	Q45670-P1365-Q199688-33fd9675-0		P585	'point in time'@en	unknown	
